638.0,398.0
650.0,418.0
669.0,402.0
669.0,383.0
657.0,366.0
635.0,360.0
614.0,374.0
604.0,399.0
585.0,414.0
568.0,406.0
568.0,382.0
575.0,362.0
592.0,344.0
615.0,331.0
644.0,328.0
674.0,335.0
696.0,360.0
707.0,389.0
706.0,416.0
687.0,440.0
654.0,451.0
632.0,468.0
603.0,469.0
653.0,488.0
684.0,481.0
715.0,462.0
733.0,442.0
743.0,403.0
739.0,360.0
719.0,327.0
702.0,311.0
673.0,295.0
640.0,289.0
607.0,293.0
576.0,309.0
550.0,332.0
534.0,357.0
524.0,393.0
534.0,421.0
551.0,440.0
586.0,452.0
584.0,488.0
537.0,476.0
516.0,457.0
501.0,443.0
493.0,412.0
497.0,366.0
510.0,329.0
533.0,299.0
564.0,268.0
613.0,257.0
680.0,258.0
725.0,284.0
754.0,312.0
773.0,353.0
780.0,409.0
767.0,456.0
750.0,484.0
719.0,507.0
657.0,523.0
662.0,559.0
730.0,543.0
771.0,513.0
801.0,474.0
816.0,413.0
809.0,346.0
783.0,290.0
748.0,251.0
688.0,224.0
610.0,220.0
551.0,242.0
507.0,272.0
478.0,309.0
460.0,359.0
455.0,418.0
470.0,457.0
490.0,484.0
522.0,509.0
581.0,523.0
577.0,561.0
513.0,546.0
472.0,518.0
443.0,480.0
425.0,433.0
424.0,357.0
444.0,296.0
481.0,248.0
535.0,208.0
605.0,183.0
698.0,189.0
768.0,223.0
813.0,268.0
846.0,339.0
855.0,415.0
834.0,490.0
793.0,543.0
742.0,577.0
662.0,598.0
668.0,633.0
754.0,615.0
819.0,568.0
865.0,500.0
889.0,418.0
878.0,327.0
839.0,248.0
787.0,192.0
700.0,150.0
599.0,146.0
520.0,171.0
454.0,217.0
410.0,279.0
384.0,355.0
387.0,442.0
410.0,500.0
448.0,544.0
502.0,581.0
573.0,599.0
569.0,635.0
490.0,614.0
427.0,574.0
379.0,518.0
352.0,450.0
352.0,350.0
378.0,265.0
430.0,195.0
501.0,140.0
591.0,112.0
703.0,113.0
805.0,162.0
874.0,227.0
914.0,317.0
929.0,418.0
903.0,515.0
850.0,594.0
763.0,647.0
670.0,669.0
672.0,706.0
772.0,682.0
878.0,613.0
933.0,531.0
966.0,416.0
951.0,300.0
901.0,202.0
823.0,130.0
709.0,81.0
585.0,76.0
487.0,111.0
406.0,171.0
345.0,248.0
315.0,343.0
316.0,455.0
351.0,539.0
408.0,606.0
480.0,648.0
567.0,672.0
566.0,707.0
461.0,682.0
380.0,630.0
318.0,558.0
281.0,461.0
278.0,341.0
310.0,235.0
375.0,143.0
470.0,74.0
581.0,38.0
716.0,40.0
841.0,94.0
926.0,177.0
985.0,290.0
1002.0,414.0
970.0,546.0
901.0,641.0
784.0,718.0
672.0,742.0
